Genotype,Accession,Group,Block,Rep,Env,Prot_W,Oil_W,Fib_W,Ash_W,Star_W
87916W,PI601563,stiff stalk,2,2,1,9.95,4.13,1.77,1.3,72.65
B37,PI550467,stiff stalk,2,2,1,12.63,4.22,1.91,1.56,71.61
PHT10,PI601573,stiff stalk,2,2,1,11.52,4.68,1.49,1.44,71.81
PHT10,PI601573,stiff stalk,2,2,1,11.23,4.51,1.39,1.45,71.91
LH195,PI537097,stiff stalk,2,2,1,9.58,4.15,1.53,1.34,72.51
LH195,PI537097,stiff stalk,2,2,1,9.55,4.41,1.53,1.34,72.67
W23,NSL30060,stiff stalk,2,2,1,11.03,5.22,1.78,1.43,71.26
DKFBHJ,PI601439,stiff stalk,1,1,2,10.13,4.24,1.55,1.37,71.38
A680,Ames23503,stiff stalk,1,1,2,7.54,4,1.62,1.24,70.67
LH202,PI539924,stiff stalk,1,1,2,6.6,3.2,1.19,1.13,71.86
PHW17,PI601362,stiff stalk,1,1,2,9.38,4.06,1.32,1.33,70.62
B73,PI550473,stiff stalk,1,1,2,7.4,3.12,1.35,1.23,70.83
LH119,PI600954,stiff stalk,1,1,2,9.13,4.14,1.41,1.31,71.27
DK78002A,PI601301,stiff stalk,1,1,2,10.96,4.19,1.55,1.43,71.15
LH74,PI600957,stiff stalk,1,1,2,9.76,4.14,1.49,1.34,71.19
DKPB80,PI601441,stiff stalk,1,1,2,7.3,3.37,1.49,1.21,71.08
B73,PI550473,stiff stalk,1,1,2,6.71,3.48,1.22,1.15,71.13
PHB47,PI601009,stiff stalk,1,1,2,13.79,4.67,1.72,1.57,70.81
LH149,PI601493,stiff stalk,1,1,2,6.26,2.92,1.25,1.11,71.36
DJ7,PI601191,stiff stalk,1,1,2,6.99,4.16,1.36,1.18,70.66
LH132,PI601004,stiff stalk,1,1,2,9.15,4.76,1.35,1.31,70.5
PHP55,PI601784,stiff stalk,1,1,2,8.65,3.16,1.34,1.23,71.23
DK4676A,PI601300,stiff stalk,1,1,2,11.2,4.64,1.4,1.41,71.03
IBB14,PI601565,stiff stalk,1,1,2,8.75,3.8,1.53,1.3,70.39
N192,PI550566,stiff stalk,1,1,2,12.42,4.57,1.39,1.44,71.72
B73,PI550473,stiff stalk,1,1,2,6.82,3.78,1.33,1.19,70.45
PHN66,PI548802,stiff stalk,1,1,2,8.96,4.02,1.67,1.32,68.93
PHN66,PI548802,stiff stalk,1,1,2,9.26,4.06,1.47,1.32,69.07
B76,PI550483,stiff stalk,1,1,2,11.94,4.76,1.46,1.43,70.69
LH145,PI600959,stiff stalk,1,1,2,11.86,4.2,1.72,1.46,71.58
A635,Ames19309,stiff stalk,1,1,2,11.32,3.95,1.56,1.43,69.99
A635,Ames19309,stiff stalk,1,1,2,11.14,3.98,1.42,1.4,70
LP5,PI601378,stiff stalk,1,1,2,6.99,4.05,1.45,1.2,70.23
LP5,PI601378,stiff stalk,1,1,2,7.25,4.25,1.51,1.23,69.92
A634,Ames19308,stiff stalk,1,1,2,12.9,4.65,1.74,1.56,69.66
A634,Ames19308,stiff stalk,1,1,2,12.69,4.35,1.71,1.53,68.66
LH146Ht,PI601402,stiff stalk,1,1,2,11.08,4.55,1.49,1.41,71.73
B73,PI550473,stiff stalk,1,1,2,7.78,4.2,1.44,1.24,70.83
PHW03,PI601790,stiff stalk,1,1,2,12.71,5.05,1.74,1.51,70.72
PHG80,PI601037,stiff stalk,1,1,2,8.88,3.66,1.26,1.28,71.16
NS501,PI601583,stiff stalk,1,1,2,14.05,4.25,2.08,1.62,69.19
W64A,PI587152,stiff stalk,1,1,2,10.16,4.29,1.5,1.38,70.04
W64A,PI587152,stiff stalk,1,1,2,9.94,3.99,1.43,1.37,69.71
ICI 441,PI559381,stiff stalk,1,1,2,8.82,4.55,1.31,1.28,70.41
ICI 441,PI559381,stiff stalk,1,1,2,8.92,4.04,1.39,1.31,69.87
PHV37,PI601789,stiff stalk,1,1,2,9.38,3.82,1.47,1.31,70.21
PHG71,PI601150,stiff stalk,1,1,2,11,4.27,1.92,1.47,70.81
B73,PI550473,stiff stalk,1,1,2,7.27,3.61,1.38,1.21,71.22
A632,PI587140,stiff stalk,1,1,2,10.48,3.55,1.55,1.4,70.43
PHJ70,PI601775,stiff stalk,2,1,2,10.59,3.26,1.48,1.34,71.37
LP1 NR HT,PI600729,stiff stalk,2,1,2,11.58,3.13,1.89,1.49,70.86
B73,PI550473,stiff stalk,2,1,2,7.28,3.84,1.39,1.2,70.71
B65,PI550463,stiff stalk,2,1,2,14.42,4.44,1.56,1.57,70.26
CO257,Ames27052,stiff stalk,2,1,2,13.86,4.13,1.89,1.58,69.89
H105W,PI587127,stiff stalk,2,1,2,10.79,4.13,1.69,1.41,72.03
B73,PI550473,stiff stalk,2,1,2,6.84,3.98,1.38,1.17,70.43
B109,PI597927,stiff stalk,2,1,2,7.92,4.34,1.41,1.25,70.83
H110,PI550526,stiff stalk,2,1,2,12.75,4.2,1.9,1.53,70.26
B37,PI550467,stiff stalk,2,1,2,13.68,4.54,1.94,1.6,69.85
NC328,Ames27160,stiff stalk,2,1,2,8.61,4.81,1.61,1.34,70.6
LH205,PI537099,stiff stalk,2,1,2,8.51,3.64,1.28,1.25,71.34
PHT55,PI601498,stiff stalk,2,1,2,11.81,4.1,1.71,1.44,70.24
W23,NSL30060,stiff stalk,2,1,2,8.43,4.01,1.63,1.33,70.92
B73,PI550473,stiff stalk,2,1,2,6.54,3.1,1.45,1.25,70.51
Os426,Ames22756,stiff stalk,2,1,2,11.92,3.02,1.44,1.47,72.2
FR19,PI600772,stiff stalk,2,1,2,9.91,3.97,1.7,1.41,70.08
LH190,PI539922,stiff stalk,2,1,2,9,4.64,1.5,1.32,71.15
B73,PI550473,stiff stalk,2,1,2,6.09,2.87,1.13,1.15,71.57
B14A,PI550461,stiff stalk,2,1,2,7.18,3.1,1.67,1.27,69.07
N28Ht,Ames27138,stiff stalk,2,1,2,11.52,3.26,1.5,1.45,71.45
PHW52,PI601575,stiff stalk,2,1,2,8.61,2.86,1.26,1.26,71.24
4N506,PI601745,stiff stalk,2,1,2,7.89,4.21,1.57,1.22,70.59
LH195,PI537097,stiff stalk,2,1,2,7.96,4.84,1.51,1.28,70.54
B105,PI594048,stiff stalk,2,1,2,11.72,4.5,1.62,1.49,70.58
CO258,Ames27053,stiff stalk,2,1,2,10.65,5.09,1.61,1.44,69.74
LH192,PI539926,stiff stalk,2,1,2,9.54,4.46,1.38,1.35,70.04
NC250,PI550555,stiff stalk,2,1,2,11.54,4.84,1.63,1.46,69.39
PHK29,PI601468,stiff stalk,2,1,2,8.69,3.68,1.5,1.27,69.9
LH193,PI539927,stiff stalk,2,1,2,8.8,4.18,1.55,1.3,70.29
LH208,PI547088,stiff stalk,2,1,2,9.51,3.98,1.61,1.35,69.97
LH208,PI547088,stiff stalk,2,1,2,9.28,3.6,1.55,1.32,69.68
B73,PI550473,stiff stalk,2,1,2,6.27,3.45,1.27,1.14,70.34
LH1,PI644101,stiff stalk,2,1,2,10.12,4.17,1.77,1.42,71.45
NS701,PI601417,stiff stalk,2,1,2,8.63,2.9,1.2,1.29,71.19
H84,PI587128,stiff stalk,2,1,2,13.2,5.01,1.88,1.56,69.62
PHM10,PI601778,stiff stalk,2,1,2,10.59,4.09,1.69,1.36,72.21
PHT10,PI601573,stiff stalk,2,1,2,11.1,4.5,1.46,1.42,70.66
LH194,PI539923,stiff stalk,2,1,2,8.73,4.73,1.22,1.27,71.18
87916W,PI601563,stiff stalk,2,1,2,8.88,4.66,1.34,1.29,71.74
LH202,PI539924,stiff stalk,1,2,2,6.92,3.64,1.35,1.16,71.25
DJ7,PI601191,stiff stalk,1,2,2,7.53,4.76,1.35,1.23,69.99
PHW17,PI601362,stiff stalk,1,2,2,10.03,4.16,1.63,1.42,71.59
LH149,PI601493,stiff stalk,1,2,2,5.75,3.39,1.35,1.12,68.99
LH145,PI600959,stiff stalk,1,2,2,12.38,4.13,1.46,1.45,71.21
B73,PI550473,stiff stalk,1,2,2,7.47,3.93,1.39,1.21,69.27
DKFBHJ,PI601439,stiff stalk,1,2,2,9.97,4.08,1.53,1.4,69.99
DK78002A,PI601301,stiff stalk,1,2,2,10.88,4.62,1.68,1.43,69.42
PHG86,PI601442,stiff stalk,1,2,2,7.99,3.86,1.53,1.28,69.83
PHN66,PI548802,stiff stalk,1,2,2,10.62,4.07,1.82,1.43,69.46
ICI 441,PI559381,stiff stalk,1,2,2,9.83,4.58,1.54,1.35,70.9
IBB14,PI601565,stiff stalk,1,2,2,8.87,4.02,1.75,1.31,70.32
PHW03,PI601790,stiff stalk,1,2,2,13.07,5.25,1.78,1.59,69.96
NS501,PI601583,stiff stalk,1,2,2,13.35,4.31,1.53,1.5,70.67
B73,PI550473,stiff stalk,1,2,2,7.84,3.97,1.46,1.26,70.74
B76,PI550483,stiff stalk,1,2,2,12.75,3.84,1.42,1.46,71.55
DK4676A,PI601300,stiff stalk,1,2,2,10.95,5.14,1.59,1.45,70.58
LH119,PI600954,stiff stalk,1,2,2,9,4.09,1.64,1.36,71.02
PHV37,PI601789,stiff stalk,1,2,2,10.7,3.74,1.57,1.4,71.46
LH132,PI601004,stiff stalk,1,2,2,9.71,4.62,1.33,1.31,71.44
PHP55,PI601784,stiff stalk,1,2,2,9.03,3,1.33,1.27,72.12
A680,Ames23503,stiff stalk,1,2,2,7.32,4.08,1.62,1.23,71.18
PHG71,PI601150,stiff stalk,1,2,2,12.94,4.81,1.76,1.53,70.73
N192,PI550566,stiff stalk,1,2,2,10.97,4.57,1.48,1.41,70.8
LP5,PI601378,stiff stalk,1,2,2,7.52,4.12,1.57,1.26,70.72
B73,PI550473,stiff stalk,1,2,2,7.83,3.73,1.41,1.23,71.14
DKPB80,PI601441,stiff stalk,1,2,2,8.12,3.44,1.45,1.27,71.67
W64A,PI587152,stiff stalk,1,2,2,10.97,4.47,1.64,1.44,70.84
LH74,PI600957,stiff stalk,1,2,2,9.62,3.87,1.42,1.31,71.12
A635,Ames19309,stiff stalk,1,2,2,11.36,3.6,1.62,1.4,71.82
B73,PI550473,stiff stalk,1,2,2,7.73,3.73,1.43,1.26,70.65
PHB47,PI601009,stiff stalk,1,2,2,12.8,4.14,1.72,1.51,70.06
A634,Ames19308,stiff stalk,1,2,2,13.77,4.11,1.7,1.57,70.52
LH146Ht,PI601402,stiff stalk,1,2,2,11.03,4.59,1.39,1.4,71.09
B73,PI550473,stiff stalk,1,2,2,7.9,3.85,1.17,1.19,71.56
2FACC,PI601808,stiff stalk,1,2,2,10.3,4.3,1.64,1.39,69.92
PHG80,PI601037,stiff stalk,1,2,2,8.23,2.85,1.47,1.25,71.24
A632,PI587140,stiff stalk,1,2,2,11.21,3.65,1.49,1.4,71.16
PHJ70,PI601775,stiff stalk,2,2,2,10.87,3.97,1.43,1.38,70.18
Os426,Ames22756,stiff stalk,2,2,2,13.44,3.67,1.61,1.55,71.04
LH193,PI539927,stiff stalk,2,2,2,8.3,4.67,1.37,1.23,70.08
PHT10,PI601573,stiff stalk,2,2,2,10.79,4.17,1.38,1.39,70.98
H84,PI587128,stiff stalk,2,2,2,12.67,4.57,1.85,1.5,70.45
H110,PI550526,stiff stalk,2,2,2,12.58,3.72,1.9,1.57,70.99
B37,PI550467,stiff stalk,2,2,2,12.82,4.52,1.88,1.59,70.5
FR19,PI600772,stiff stalk,2,2,2,11.31,3.84,1.65,1.42,70.59
LH190,PI539922,stiff stalk,2,2,2,8.94,4.8,1.53,1.3,71.2
LH208,PI547088,stiff stalk,2,2,2,10.31,3.6,1.49,1.37,71.97
LH195,PI537097,stiff stalk,2,2,2,9.03,4.35,1.24,1.28,71.96
NC328,Ames27160,stiff stalk,2,2,2,8.52,5.01,1.61,1.34,70.74
NS701,PI601417,stiff stalk,2,2,2,8.47,3.72,1.26,1.18,70.89
N28Ht,Ames27138,stiff stalk,2,2,2,10.77,4.02,1.68,1.41,70.99
B73,PI550473,stiff stalk,2,2,2,7.13,3.67,1.16,1.17,71.42
LH192,PI539926,stiff stalk,2,2,2,10.21,4.56,1.45,1.36,70.74
PHK29,PI601468,stiff stalk,2,2,2,8.86,3.72,1.76,1.31,70.95
W23,NSL30060,stiff stalk,2,2,2,8.59,4.2,1.81,1.35,68.91
PHT55,PI601498,stiff stalk,2,2,2,10.58,4.62,1.83,1.42,69.61
B14A,PI550461,stiff stalk,2,2,2,7.44,3.35,1.41,1.2,70.75
4N506,PI601745,stiff stalk,2,2,2,8.77,4.15,1.49,1.28,71.51
LH1,PI644101,stiff stalk,2,2,2,9.53,4.59,1.57,1.38,71.32
LH194,PI539923,stiff stalk,2,2,2,7.66,4.29,1.27,1.19,70.45
CO258,Ames27053,stiff stalk,2,2,2,11.48,4.77,1.42,1.43,71.23
87916W,PI601563,stiff stalk,2,2,2,7.69,4.8,1.18,1.2,72.32
H105W,PI587127,stiff stalk,2,2,2,10.86,3.66,1.75,1.41,71.49
B73,PI550473,stiff stalk,2,2,2,8.95,3.98,1.2,1.25,71.92
LP1 NR HT,PI600729,stiff stalk,2,2,2,12.06,3.85,1.85,1.5,68.91
LH205,PI537099,stiff stalk,2,2,2,8.43,3.84,1.37,1.25,70.33
CO257,Ames27052,stiff stalk,2,2,2,13.51,4.09,1.76,1.56,71.04
B73,PI550473,stiff stalk,2,2,2,6.24,2.92,1.35,1.16,69.63
PHM10,PI601778,stiff stalk,2,2,2,10.7,3.8,1.73,1.42,71.41
B73,PI550473,stiff stalk,2,2,2,6.72,3.29,1.44,1.21,70.28
B109,PI597927,stiff stalk,2,2,2,8.1,4.53,1.55,1.27,71.4
B73,PI550473,stiff stalk,2,2,2,7.03,3.76,1.45,1.23,71.36
NC250,PI550555,stiff stalk,2,2,2,11.59,5.09,1.45,1.42,70.72
B65,PI550463,stiff stalk,2,2,2,13.84,4.98,1.5,1.54,70.44
B105,PI594048,stiff stalk,2,2,2,11.67,4.7,1.62,1.5,70.19
PHG86,PI601442,stiff stalk,1,1,3,9.72,2.98,2.26,1.31,74.77
ICI 441,PI559381,stiff stalk,1,1,3,10.97,3.53,2.4,1.37,75.41
LH149,PI601493,stiff stalk,1,1,3,9.14,1.89,2.5,1.22,75.62
PHN66,PI548802,stiff stalk,1,1,3,13.02,3.64,2.87,1.52,74.65
PHV37,PI601789,stiff stalk,1,1,3,12.07,2.59,2.24,1.39,75.19
PHG71,PI601150,stiff stalk,1,1,3,13.05,4.09,2.33,1.57,75.37
A635,Ames19309,stiff stalk,1,1,3,14.99,3,2.83,1.6,75.66
B73,PI550473,stiff stalk,1,1,3,13.98,3.55,2.3,1.52,76.36
DK78002A,PI601301,stiff stalk,1,1,3,13.68,3.4,2.55,1.58,74.49
B73,PI550473,stiff stalk,1,1,3,10.75,3.26,2.27,1.38,75.4
LH145,PI600959,stiff stalk,1,1,3,14.02,3.9,2.57,1.64,75.57
LH202,PI539924,stiff stalk,1,1,3,10.73,2.63,2.59,1.35,76.14
DJ7,PI601191,stiff stalk,1,1,3,9,3.02,2.48,1.28,74.59
LH74,PI600957,stiff stalk,1,1,3,12.33,3.21,2.51,1.46,75.51
DKPB80,PI601441,stiff stalk,1,1,3,10.77,3.91,2.25,1.38,75.13
B76,PI550483,stiff stalk,1,1,3,12.68,3.9,2.35,1.48,73.56
W64A,PI587152,stiff stalk,1,1,3,15.48,4.5,2.4,1.65,74.13
B73,PI550473,stiff stalk,1,1,3,10.13,2.92,2.19,1.33,73.92
B73,PI550473,stiff stalk,1,1,3,10.39,2.98,2.14,1.31,75.82
PHG80,PI601037,stiff stalk,1,1,3,8.28,1.89,2.32,1.25,74.74
DKFBHJ,PI601439,stiff stalk,1,1,3,12.78,3.68,2.55,1.52,74.26
N192,PI550566,stiff stalk,1,1,3,14.48,3.85,2.29,1.56,74.28
2FACC,PI601808,stiff stalk,1,1,3,9.7,2.63,2.32,1.29,74.98
PHP55,PI601784,stiff stalk,1,1,3,8.63,1.82,2.36,1.26,74.74
LH132,PI601004,stiff stalk,1,1,3,14.5,3.7,2.48,1.56,75.04
B73,PI550473,stiff stalk,1,1,3,9.59,2.75,2.15,1.35,75.4
PHW17,PI601362,stiff stalk,1,1,3,14.22,4.65,2.61,1.65,74.74
PHW03,PI601790,stiff stalk,1,1,3,12.43,4.46,2.71,1.51,73.43
A680,Ames23503,stiff stalk,1,1,3,10.71,3.56,2.45,1.43,73.85
DK4676A,PI601300,stiff stalk,1,1,3,11.78,4.21,2.46,1.44,75.18
LH146Ht,PI601402,stiff stalk,1,1,3,15.21,4.62,2.63,1.67,74.76
A634,Ames19308,stiff stalk,1,1,3,16.95,2.66,2.91,1.76,74.43
PHB47,PI601009,stiff stalk,1,1,3,13.11,3.55,3.04,1.57,75.28
LH119,PI600954,stiff stalk,1,1,3,12.3,4.63,2.7,1.54,73.72
LP5,PI601378,stiff stalk,1,1,3,7.38,2.36,2.45,1.24,75.23
A632,PI587140,stiff stalk,1,1,3,12.95,3.39,2.33,1.48,75.04
NS501,PI601583,stiff stalk,1,1,3,14.75,3.58,2.57,1.62,75.08
IBB14,PI601565,stiff stalk,1,1,3,9.16,1.93,2.44,1.32,75.14
LH205,PI537099,stiff stalk,2,1,3,9.09,2.89,2.32,1.26,75.18
PHM10,PI601778,stiff stalk,2,1,3,12.05,3.98,2.81,1.52,74.13
B73,PI550473,stiff stalk,2,1,3,10.09,3.52,2.12,1.36,73.95
NS701,PI601417,stiff stalk,2,1,3,9.02,2.97,2.08,1.3,75.17
B109,PI597927,stiff stalk,2,1,3,11.34,3.68,2.34,1.44,74.83
87916W,PI601563,stiff stalk,2,1,3,12.31,4.14,2.41,1.45,74.38
PHT10,PI601573,stiff stalk,2,1,3,11.31,3.18,2.4,1.35,73.13
PHT55,PI601498,stiff stalk,2,1,3,12.2,3.67,2.64,1.48,75.53
H105W,PI587127,stiff stalk,2,1,3,9.88,3.31,2.59,1.36,74.36
LH192,PI539926,stiff stalk,2,1,3,9.55,3.01,2.36,1.27,71.75
B37,PI550467,stiff stalk,2,1,3,10.9,4.27,2.86,1.49,73.21
LH190,PI539922,stiff stalk,2,1,3,11.22,4.13,2.5,1.51,74.26
CO257,Ames27052,stiff stalk,2,1,3,16.06,3,2.69,1.67,75.33
H110,PI550526,stiff stalk,2,1,3,15.99,3.39,2.85,1.67,74.83
W23,NSL30060,stiff stalk,2,1,3,11.12,3.2,2.71,1.41,76.16
B73,PI550473,stiff stalk,2,1,3,9.81,2.49,2.31,1.29,75.31
B73,PI550473,stiff stalk,2,1,3,9.74,2.99,2.34,1.34,75.02
LP1 NR HT,PI600729,stiff stalk,2,1,3,13.07,3.52,2.42,1.56,74.43
LP1 NR HT,PI600729,stiff stalk,2,1,3,15.27,4.08,2.86,1.68,73.9
LP1 NR HT,PI600729,stiff stalk,2,1,3,15.4,3.92,2.83,1.69,74.04
LH208,PI547088,stiff stalk,2,1,3,10.65,2.38,2.41,1.32,76.46
B73,PI550473,stiff stalk,2,1,3,8.08,2.59,2.38,1.23,75.87
LH195,PI537097,stiff stalk,2,1,3,9.88,2.87,2.41,1.32,77.16
LH193,PI539927,stiff stalk,2,1,3,10.55,3.48,2.33,1.34,74.23
N28Ht,Ames27138,stiff stalk,2,1,3,11.25,3.51,2.7,1.45,74.68
LH194,PI539923,stiff stalk,2,1,3,9.07,3.86,2.19,1.37,74.69
B73,PI550473,stiff stalk,2,1,3,11.05,2.86,2.32,1.41,74.92
B14A,PI550461,stiff stalk,2,1,3,7.94,2.44,2.41,1.3,75.34
CO258,Ames27053,stiff stalk,2,1,3,12.92,5.03,2.6,1.61,73.95
4N506,PI601745,stiff stalk,2,1,3,8.44,2.97,2.28,1.24,74.63
FR19,PI600772,stiff stalk,2,1,3,11.06,2.99,2.49,1.4,74.67
PHJ70,PI601775,stiff stalk,2,1,3,10.63,3.23,2.37,1.4,75.77
Os426,Ames22756,stiff stalk,2,1,3,14.17,3.04,2.82,1.57,74.79
B105,PI594048,stiff stalk,2,1,3,12.29,4.91,2.83,1.57,72.45
H84,PI587128,stiff stalk,2,1,3,12.15,4.07,2.77,1.49,74.33
PHK29,PI601468,stiff stalk,2,1,3,11.5,2.95,2.59,1.41,75.65
NC328,Ames27160,stiff stalk,2,1,3,11.51,3.77,2.5,1.47,75.56
B65,PI550463,stiff stalk,2,1,3,17.07,3.46,2.71,1.62,77.14
LH1,PI644101,stiff stalk,2,1,3,10.76,3.02,2.77,1.46,74.73
B73,PI550473,stiff stalk,2,1,3,10.42,2.54,2.28,1.33,75.91
PHW52,PI601575,stiff stalk,2,1,3,9.37,2.79,2.67,1.29,76.16
LH145,PI600959,stiff stalk,1,2,3,13.64,3.79,2.25,1.5,76.04
PHB47,PI601009,stiff stalk,1,2,3,11.25,2.87,2.42,1.42,74.77
LH119,PI600954,stiff stalk,1,2,3,12.87,5.15,2.28,1.62,74.7
LH202,PI539924,stiff stalk,1,2,3,8.15,2,2.12,1.23,74.77
DJ7,PI601191,stiff stalk,1,2,3,9.91,3.34,2.21,1.33,75.38
PHV37,PI601789,stiff stalk,1,2,3,11.9,3.2,2.33,1.42,75.26
PHG86,PI601442,stiff stalk,1,2,3,9.89,3.31,2.25,1.32,75.79
N192,PI550566,stiff stalk,1,2,3,18.28,4.64,2.49,1.78,74.8
PHG71,PI601150,stiff stalk,1,2,3,14.79,3.43,2.65,1.59,75.84
LP5,PI601378,stiff stalk,1,2,3,7.86,3.11,2.55,1.26,74.14
A632,PI587140,stiff stalk,1,2,3,13.32,3.34,2.33,1.49,75.91
B73,PI550473,stiff stalk,1,2,3,10.23,3.51,2.34,1.39,74.12
A634,Ames19308,stiff stalk,1,2,3,17.43,4.14,2.79,1.74,74.6
IBB14,PI601565,stiff stalk,1,2,3,9.67,2.42,2.59,1.36,74.82
DKFBHJ,PI601439,stiff stalk,1,2,3,13.35,3.55,2.58,1.54,75.29
DK78002A,PI601301,stiff stalk,1,2,3,11.51,3.23,2.54,1.45,74.77
PHW03,PI601790,stiff stalk,1,2,3,12.56,5.18,2.77,1.56,73.51
LH74,PI600957,stiff stalk,1,2,3,13.09,3.36,2.54,1.49,75.3
LH149,PI601493,stiff stalk,1,2,3,7.97,2.12,2.21,1.19,76.3
B76,PI550483,stiff stalk,1,2,3,13.62,4.43,2.65,1.52,74.05
PHN66,PI548802,stiff stalk,1,2,3,13.38,3.52,2.44,1.52,75.71
W64A,PI587152,stiff stalk,1,2,3,16.36,4.69,2.79,1.75,73.72
B73,PI550473,stiff stalk,1,2,3,12.94,3.08,2.26,1.44,75.61
LH132,PI601004,stiff stalk,1,2,3,12.21,4.24,2.39,1.52,75.11
PHW17,PI601362,stiff stalk,1,2,3,12.42,3.39,2.75,1.56,74.38
DKPB80,PI601441,stiff stalk,1,2,3,10.8,3.17,2.25,1.37,74.59
B73,PI550473,stiff stalk,1,2,3,13.04,3.77,2.3,1.52,74.95
ICI 441,PI559381,stiff stalk,1,2,3,12.73,3.64,2.35,1.43,75.52
2FACC,PI601808,stiff stalk,1,2,3,10.41,2.17,2.22,1.3,75.99
LH146Ht,PI601402,stiff stalk,1,2,3,16.7,4.12,2.57,1.7,74.5
NS501,PI601583,stiff stalk,1,2,3,15.99,3.7,2.51,1.58,74.8
A680,Ames23503,stiff stalk,1,2,3,10.93,2.81,2.5,1.4,74.77
PHG80,PI601037,stiff stalk,1,2,3,8.84,2.59,2.21,1.26,74.7
DK4676A,PI601300,stiff stalk,1,2,3,12.42,3.96,2.33,1.44,73.77
B73,PI550473,stiff stalk,1,2,3,12.75,3.02,2.38,1.5,75.75
A635,Ames19309,stiff stalk,1,2,3,16.37,2.92,2.83,1.65,76.42
B73,PI550473,stiff stalk,1,2,3,9.64,2.94,2.32,1.28,75.4
CO258,Ames27053,stiff stalk,2,2,3,12.61,3.95,2.52,1.52,72.84
B73,PI550473,stiff stalk,2,2,3,10.45,3.07,2.13,1.32,74.8
LH192,PI539926,stiff stalk,2,2,3,11.43,4.04,2.28,1.45,74.2
4N506,PI601745,stiff stalk,2,2,3,9.88,3.4,2.29,1.34,74.58
B73,PI550473,stiff stalk,2,2,3,9.99,2.86,2.25,1.35,74.08
B37,PI550467,stiff stalk,2,2,3,14.68,3.83,2.75,1.66,74.06
Os426,Ames22756,stiff stalk,2,2,3,15.23,4,2.48,1.63,74.87
B73,PI550473,stiff stalk,2,2,3,12.37,3.45,2.57,1.49,74.95
LH194,PI539923,stiff stalk,2,2,3,8.62,3.33,2.04,1.24,74.25
87916W,PI601563,stiff stalk,2,2,3,10.88,3.49,2.47,1.37,76.54
PHM10,PI601778,stiff stalk,2,2,3,10.93,3.62,2.62,1.44,73.67
H110,PI550526,stiff stalk,2,2,3,15.3,3.65,2.67,1.66,74.96
B109,PI597927,stiff stalk,2,2,3,10.73,3.44,2.47,1.36,76.37
PHT55,PI601498,stiff stalk,2,2,3,12.23,3.79,2.64,1.55,73.06
N28Ht,Ames27138,stiff stalk,2,2,3,13.46,2.24,2.87,1.49,76.16
LH195,PI537097,stiff stalk,2,2,3,11.69,3.81,2.05,1.41,74.88
LP1 NR HT,PI600729,stiff stalk,2,2,3,16.41,4.48,3.27,1.75,73.46
LH205,PI537099,stiff stalk,2,2,3,9.08,2.5,2.18,1.23,75.61
CO257,Ames27052,stiff stalk,2,2,3,15.96,3.66,2.85,1.72,75.22
NC328,Ames27160,stiff stalk,2,2,3,11.18,3.33,2.58,1.36,76.94
FR19,PI600772,stiff stalk,2,2,3,14.55,3.15,2.58,1.62,74.16
NS701,PI601417,stiff stalk,2,2,3,10.36,2.03,2.27,1.29,76.32
LH190,PI539922,stiff stalk,2,2,3,12.39,4.28,2.7,1.5,74.66
B73,PI550473,stiff stalk,2,2,3,10.77,2.96,2.36,1.37,74.69
H105W,PI587127,stiff stalk,2,2,3,12.14,3.54,2.48,1.48,75.27
B65,PI550463,stiff stalk,2,2,3,17.38,4.21,2.1,1.66,75.62
W23,NSL30060,stiff stalk,2,2,3,8.76,2.75,2.78,1.31,74.3
PHT10,PI601573,stiff stalk,2,2,3,12.1,3.51,2.41,1.45,74.52
B14A,PI550461,stiff stalk,2,2,3,8.11,2.76,2.37,1.3,74.42
H84,PI587128,stiff stalk,2,2,3,11.95,4.04,2.97,1.52,74.02
LH208,PI547088,stiff stalk,2,2,3,13.13,2.81,2.48,1.47,75.15
LH1,PI644101,stiff stalk,2,2,3,10.96,3.23,2.8,1.44,74.68
PHK29,PI601468,stiff stalk,2,2,3,9.1,2.62,2.72,1.31,74.89
NC250,PI550555,stiff stalk,2,2,3,14.59,4.51,3.05,1.63,77.35
LH193,PI539927,stiff stalk,2,2,3,11.22,3.47,2.36,1.34,74.89
B73,PI550473,stiff stalk,2,2,3,12.69,2.57,2.26,1.41,76.31
B105,PI594048,stiff stalk,2,2,3,13.36,4.64,2.37,1.54,74.49
DJ7,PI601191,stiff stalk,1,1,4,10.5,3.71,2,1.38,74.5
PHG80,PI601037,stiff stalk,1,1,4,9.09,2.16,1.94,1.23,75.27
LP5,PI601378,stiff stalk,1,1,4,8.09,2.89,2.03,1.24,74.5
LH74,PI600957,stiff stalk,1,1,4,12,3.56,2.43,1.43,73.83
PHG71,PI601150,stiff stalk,1,1,4,13.52,3.83,2.58,1.51,73.43
PHB47,PI601009,stiff stalk,1,1,4,15.03,3.27,2.64,1.6,73.81
B73,PI550473,stiff stalk,1,1,4,9.53,3.63,2.29,1.3,73.5
W64A,PI587152,stiff stalk,1,1,4,12.06,3.54,2.38,1.45,73.63
2FACC,PI601808,stiff stalk,1,1,4,11.38,3.39,2.04,1.41,74.55
A680,Ames23503,stiff stalk,1,1,4,10.24,3.34,2.09,1.31,75.25
PHW17,PI601362,stiff stalk,1,1,4,10.53,3.14,2.6,1.53,72.05
