Accession,Origin,Group,Starch,Protein,Oil,Fib,Ash,Density
PI601490,"US, Minnesota",unclassified,61.37,12.45,3.4,0.97,1.1,1.33
PI601491,"US, Minnesota",unclassified,65.16,9.68,4.24,1.95,1.21,1.25
PI601492,"US, Minnesota",unclassified,65,10.55,3.22,1.94,1.21,1.26
PI601502,"US, Minnesota",unclassified,62.94,11.79,3.33,1.63,1.14,1.28
PI601558,"US, Colorado",unclassified,63.97,11.22,2.56,1.33,1.07,1.31
PI601559,"US, Colorado",unclassified,65.14,9.71,3.21,1.08,1.13,1.32
PI601569,"US, Iowa",unclassified,64.03,10.21,3.49,1.26,1.09,1.31
PI601571,"US, Illinois",unclassified,60.94,13.31,4.53,0.91,1.13,1.33
PI601584,"US, Illinois",unclassified,63.76,11.44,2.63,1.68,1.14,1.28
PI601611,"US, Minnesota",unclassified,60.74,12.25,4.71,1.6,1.18,1.27
PI601612,"US, Minnesota",unclassified,62.66,11.9,3,1.5,1.14,1.29
PI601658,"US, Minnesota",unclassified,61.81,13.28,3.06,1.37,1.12,1.3
PI601683,"US, Nebraska",unclassified,63.02,11.33,3.86,1.45,1.25,1.29
PI601684,"US, Iowa",unclassified,64.47,11.11,2.37,1.52,1.11,1.3
PI601724,"US, Minnesota",unclassified,66.28,9.71,2.9,0.95,1.21,1.35
PI601725,"US, Minnesota",unclassified,61.66,11.4,5.12,1.76,1.33,1.26
PI601729,"US, Minnesota",unclassified,66.1,10.17,2.71,1.43,1.1,1.3
PI601773,"US, Iowa",unclassified,62.86,11.06,2.84,1.02,1.17,1.32
PI601776,"US, Iowa",unclassified,60.13,13.34,2.74,1.85,1.08,1.26
PI601777,"US, Iowa",unclassified,65.2,10.9,3.56,1.47,1.1,1.3
PI601779,"US, Georgia",unclassified,65.79,10.64,3.49,1.36,1.14,1.31
PI601781,"US, Iowa",unclassified,62.86,13.01,2.9,1.36,1.19,1.3
PI601785,"US, Tennessee",unclassified,67.02,10.8,3.26,1.51,1.09,1.29
PI601787,"US, Iowa",unclassified,68.16,9.43,2.23,1.07,1.11,1.34
PI604605,"US, Nebraska",unclassified,62.71,13.05,3.87,1.59,1.09,1.28
PI604606,"US, Nebraska",unclassified,62.13,12.48,5.1,1.28,1.13,1.29
PI606768,"US, South Dakota",unclassified,64.89,10.23,3.2,1.4,1.14,1.3
PI607521,"US, Minnesota",unclassified,62.76,11.75,4.01,1.45,1.24,1.3
PI607527,"US, North Dakota",unclassified,62.61,13.59,3.6,0.84,1.18,1.34
PI610493,"US, New York",unclassified,67.08,9.78,3.61,1.24,1.06,1.3
PI619430,"US, Texas",unclassified,60.51,12.38,6.76,0.76,1.3,1.32
PI619431,"US, Texas",unclassified,59.77,11.57,5.98,1.85,1.53,1.22
PI633727,"US, Texas",unclassified,61.88,14.88,3.02,0.83,1.1,1.34
PI633728,"US, Texas",unclassified,65.54,9.7,4.51,2.27,1.1,1.21
PI633924,"US, Tennessee",unclassified,66.51,10.14,2.84,1.41,1.01,1.31
PI634206,"US, Missouri",unclassified,63.22,13.38,3.72,0.62,1.09,1.35
PI634207,"US, Missouri",unclassified,59.7,13.03,3.96,1.39,0.82,1.28
PI638550,"US, Nebraska",unclassified,66.7,10.04,3.74,1.53,1.15,1.29
PI641225,"US, Hawaii",unclassified,57.21,14.95,4.41,1.44,1.02,1.28
